1|1|1|3|5|160.0|8.0|Selkä kipeä 433
2|2|1|3|5|160.0|8.0|Selkä kipeä 908
3|2|1|3|5|160.0|8.0|Selkä kipeä 378
4|3|1|3|5|160.0|8.0|Selkä kipeä 200
5|3|1|3|5|160.0|8.0|Selkä kipeä 326
6|3|1|3|5|160.0|8.0|Selkä kipeä 664
7|4|1|3|5|160.0|8.0|Selkä kipeä 306
8|4|1|3|5|160.0|8.0|Selkä kipeä 301
9|4|1|3|5|160.0|8.0|Selkä kipeä 486
10|4|1|3|5|160.0|8.0|Selkä kipeä 542
11|5|1|3|5|160.0|8.0|Selkä kipeä 503
12|5|1|3|5|160.0|8.0|Selkä kipeä 930
13|5|1|3|5|160.0|8.0|Selkä kipeä 532
14|8|1|3|5|160.0|8.0|Selkä kipeä 770
15|8|1|3|5|160.0|8.0|Selkä kipeä 952
16|8|1|3|5|160.0|8.0|Selkä kipeä 335
17|8|1|3|5|160.0|8.0|Selkä kipeä 468
18|8|1|3|5|160.0|8.0|Selkä kipeä 307
19|7|1|3|5|160.0|8.0|Selkä kipeä 265
20|7|1|3|5|160.0|8.0|Selkä kipeä 843
21|3|1|3|5|160.0|8.0|Selkä kipeä 899
22|1|1|3|5|160.0|8.0|Selkä kipeä 441
23|8|1|3|5|160.0|8.0|Selkä kipeä 310
24|8|1|3|5|160.0|8.0|Selkä kipeä 507
25|5|1|3|5|160.0|8.0|Selkä kipeä 268
26|5|1|3|5|160.0|8.0|Selkä kipeä 278
27|9|1|3|5|160.0|8.0|Selkä kipeä 228
28|9|1|3|5|160.0|8.0|Selkä kipeä 95
29|9|1|3|5|160.0|8.0|Selkä kipeä 361
30|9|1|3|5|160.0|8.0|Selkä kipeä 561
31|9|1|3|5|160.0|8.0|Selkä kipeä 334
32|9|1|3|5|160.0|8.0|Selkä kipeä 75
33|11|1|3|5|160.0|8.0|Selkä kipeä 265
34|11|1|3|5|160.0|8.0|Selkä kipeä 816
